dataset_id	gsm_id	sample_title	predicted_subtype	assignment_score	runner_up_subtype	runner_up_score	assignment_margin	assignment_margin_rank	assignment_entropy	score_emt	score_msi	score_mss_tp53_minus	score_mss_tp53_plus	shared_gene_count
GSE84437	GSM2235906	Y3577T	MSS/TP53-	0.197614	MSI	0.190316	0.0072976	low	0.986168	-0.321403	0.190316	0.197614	0.0850571	15335
GSE84437	GSM2235907	Y3589T	MSI	0.362203	MSS/TP53+	-0.0653871	0.42759	high	0.981349	-0.171315	0.362203	-0.131454	-0.0653871	15335
GSE84437	GSM2235908	Y3603T	EMT	0.0717345	MSS/TP53-	0.0601678	0.0115667	low	0.99763	0.0717345	-0.136808	0.0601678	-0.00617674	15335
GSE84437	GSM2235909	Y2776T	MSS/TP53-	0.212771	MSS/TP53+	0.0572504	0.15552	medium	0.993033	-0.182647	0.0192159	0.212771	0.0572504	15335
GSE84437	GSM2235910	Y2818T	MSI	0.124015	EMT	0.0691746	0.0548409	low	0.994113	0.0691746	0.124015	-0.216452	-0.053068	15335
GSE84437	GSM2235921	Y2833T	MSS/TP53-	0.362159	MSI	0.0207003	0.341458	high	0.982022	-0.257874	0.0207003	0.362159	0.00171745	15335
GSE84437	GSM2235922	Y2869T	MSS/TP53-	0.158034	MSI	0.0171141	0.14092	medium	0.996548	-0.113763	0.0171141	0.158034	-0.0107024	15335
GSE84437	GSM2235923	Y3024T	MSS/TP53+	0.128925	MSS/TP53-	0.0606284	0.0682963	low	0.99668	-0.137302	0.0483659	0.0606284	0.128925	15335
GSE84437	GSM2235924	Y3036T	MSI	0.189225	MSS/TP53-	-0.0343525	0.223578	high	0.995139	-0.107966	0.189225	-0.0343525	-0.0437175	15335
GSE84437	GSM2235925	Y3089T	MSS/TP53-	0.118279	MSS/TP53+	0.11662	0.00165946	low	0.996283	-0.135044	0.00442873	0.118279	0.11662	15335
GSE84437	GSM2235926	Y3090T	EMT	0.137006	MSS/TP53+	0.0502744	0.0867312	medium	0.991275	0.137006	0.044707	-0.294125	0.0502744	15335
GSE84437	GSM2235927	Y3099T	MSS/TP53-	0.240758	MSI	0.104348	0.136409	medium	0.988599	-0.267789	0.104348	0.240758	0.0545576	15335
